SaleID,price
200000.0,693.9635
200001.0,1225.6974
200002.0,5141.2173
200003.0,897.90594
200004.0,1365.6636
200005.0,952.8351
200006.0,302.95764
200007.0,2323.2146
200008.0,8059.7725
200009.0,441.16785
200010.0,509.1417
200011.0,1559.6677
200012.0,3382.657
200013.0,5262.04
200014.0,1621.3372
200015.0,174.3057
200016.0,1083.0422
200017.0,4969.1313
200018.0,5077.636
200019.0,388.5972
200020.0,15661.121
200021.0,4995.8267
200022.0,1541.1685
200023.0,909.9153
200024.0,525.72046
200025.0,5232.9243
200026.0,553.8679
200027.0,8343.626
200028.0,2986.379
200029.0,5097.577
200030.0,12597.999
200031.0,6639.051
200032.0,395.77698
200033.0,9247.719
200034.0,508.20206
200035.0,1157.3849
200036.0,9098.181
200037.0,4360.6562
200038.0,815.3594
200039.0,216.82597
200040.0,407.86215
200041.0,14964.431
200042.0,273.84872
200043.0,5452.2314
200044.0,12333.943
200045.0,496.65274
200046.0,11000.387
200047.0,10910.703
200048.0,1618.4338
200049.0,2182.9844
200050.0,532.5076
200051.0,2800.896
200052.0,1814.392
200053.0,264.3735
200054.0,7666.2134
200055.0,6190.1064
200056.0,4557.6763
200057.0,2312.9788
200058.0,799.59467
200059.0,3427.724
200060.0,4924.7075
200061.0,1038.587
200062.0,3640.3108
200063.0,6114.954
200064.0,996.1099
200065.0,1308.7587
200066.0,391.70734
200067.0,7099.637
200068.0,167.36371
200069.0,12444.872
200070.0,5598.3125
200071.0,162.69962
200072.0,3387.6604
200073.0,11577.52
200074.0,2754.5615
200075.0,8342.715
200076.0,1788.8177
200077.0,243.9624
200078.0,303.41797
200079.0,1789.2793
200080.0,2303.0342
200081.0,1263.5454
200082.0,2998.4995
200083.0,343.99884
200084.0,778.546
200085.0,1139.8627
200086.0,4529.3047
200087.0,2046.0787
200088.0,1640.7461
200089.0,24163.172
200090.0,1810.6105
200091.0,165.85757
200092.0,1436.56
200093.0,11769.955
200094.0,4797.568
200095.0,3748.8577
200096.0,1750.5677
200097.0,811.249
200098.0,261.37354
200099.0,14034.214
200100.0,15337.286
200101.0,5289.4546
200102.0,1165.9902
200103.0,7122.0225
200104.0,3626.3516
200105.0,2104.0635
200106.0,6169.884
200107.0,1202.91
200108.0,8332.288
200109.0,5029.6855
200110.0,941.72095
200111.0,1065.0046
200112.0,1173.5859
200113.0,390.274
200114.0,1357.4777
200115.0,913.6844
200116.0,8584.572
200117.0,9906.565
200118.0,42192.863
200119.0,215.40895
200120.0,2109.0532
200121.0,1981.5308
200122.0,441.5949
200123.0,1417.5337
200124.0,32621.473
200125.0,496.67682
200126.0,2267.2744
200127.0,9742.624
200128.0,1019.00226
200129.0,3743.7117
200130.0,2659.7468
200131.0,1844.658
200132.0,698.0277
200133.0,1748.9766
200134.0,802.0365
200135.0,1855.961
200136.0,2510.3418
200137.0,1063.4155
200138.0,6592.8945
200139.0,4225.738
200140.0,1374.1664
200141.0,1012.39716
200142.0,3228.748
200143.0,4743.6685
200144.0,833.28625
200145.0,3660.059
200146.0,1715.0228
200147.0,2431.981
200148.0,1395.02
200149.0,166.17033
200150.0,7228.4116
200151.0,3267.1062
200152.0,423.13748
200153.0,297.06586
200154.0,5051.922
200155.0,1857.488
200156.0,10078.089
200157.0,6113.2173
200158.0,6714.3047
200159.0,1991.5419
200160.0,4948.871
200161.0,4311.987
200162.0,4166.18
200163.0,452.24478
200164.0,11268.095
200165.0,10727.887
200166.0,17282.422
200167.0,2396.6243
200168.0,24989.572
200169.0,517.10864
200170.0,1698.7208
200171.0,5442.5547
200172.0,1496.717
200173.0,20615.646
200174.0,879.46893
200175.0,1433.3213
200176.0,5487.9556
200177.0,3694.0544
200178.0,3326.1702
200179.0,2586.1382
200180.0,635.6332
200181.0,10473.217
200182.0,2882.3667
200183.0,1379.9208
200184.0,1664.7892
200185.0,2601.9622
200186.0,1869.7258
200187.0,4724.727
200188.0,8284.54
200189.0,7058.064
200190.0,2694.278
200191.0,2452.2634
200192.0,724.62866
200193.0,2115.99
200194.0,4467.4487
200195.0,1468.6274
200196.0,660.594
200197.0,15916.785
200198.0,793.5567
200199.0,2982.328
200200.0,446.0849
200201.0,4831.685
200202.0,1326.7749
200203.0,1301.8085
200204.0,5038.2144
200205.0,3587.4902
200206.0,692.3962
200207.0,2686.1416
200208.0,3502.657
200209.0,838.50244
200210.0,8451.562
200211.0,3786.4316
200212.0,4458.8833
200213.0,5493.1465
200214.0,13395.783
200215.0,4729.9604
200216.0,2204.2812
200217.0,726.46313
200218.0,5996.193
200219.0,794.17957
200220.0,1292.1881
200221.0,4593.4297
200222.0,1740.6139
